farm_id,region,latitude,longitude,farm_size_ha,soil_ph,soil_organic_carbon_pct,clay_pct,annual_rainfall_mm,avg_temp_c,ndvi,evi,tree_density_per_ha,water_depth_cm,fertilizer_n_kg_ha,residue_management,irrigation,rice_variety,planting_date,harvest_date,rice_yield_t_ha,carbon_stock_tco2e_ha,ch4_emission_kg_ha
11,Indo-Gangetic Plain,26.625592,81.781546,0.414,6.78,0.42,19.9,980,27.5,0.583,0.49,5,11.0,48.0,removed,drip,IR64,2024-07-17,2024-11-04,4.638,4.108,129.1
12,Mekong Delta,10.36312,105.454629,0.976,5.73,0.82,29.2,807,22.0,0.547,0.405,89,3.0,35.8,removed,flood,Naveen,2024-07-01,2024-10-28,5.007,6.938,196.4
13,Terai Nepal,27.144928,84.068691,0.996,6.01,1.55,31.0,1055,21.8,0.6,0.493,45,7.3,157.7,incorporated,drip,IR64,2024-07-09,2024-11-01,5.611,7.53,265.3
14,Coastal Andhra,16.189679,81.261285,1.63,6.78,1.77,29.5,856,28.5,0.544,0.479,34,4.7,36.0,incorporated,flood,IR64,2024-07-16,2024-10-31,5.158,7.763,353.5
15,Mekong Delta,9.972976,105.348236,1.259,6.8,2.04,6.3,1683,28.3,0.606,0.533,71,5.7,36.3,incorporated,alternate_wetting_drying,MTU1010,2024-07-08,2024-11-15,5.138,9.273,314.3
16,Indo-Gangetic Plain,26.376613,82.295207,1.3,6.66,0.53,5.0,1537,32.4,0.609,0.496,53,10.0,121.1,mulched,alternate_wetting_drying,Naveen,2024-07-09,2024-10-25,4.957,4.085,270.2
17,Mekong Delta,10.346306,105.356785,0.82,7.32,0.2,40.7,1109,27.0,0.568,0.471,76,7.3,107.2,incorporated,flood,Swarna,2024-07-05,2024-10-30,4.643,4.397,414.9
18,Terai Nepal,27.289456,83.709867,2.892,6.08,1.13,19.0,1107,25.2,0.706,0.658,11,3.3,62.1,removed,flood,Swarna,2024-06-21,2024-10-06,5.647,5.539,220.6
19,Mekong Delta,9.60393,106.049438,2.479,6.22,0.34,38.5,1165,30.1,0.459,0.389,45,5.1,74.2,incorporated,flood,MTU1010,2024-07-11,2024-10-23,4.323,3.523,385.8
20,Coastal Andhra,16.251632,81.108841,1.413,7.73,1.26,40.5,1250,29.9,0.773,0.665,19,4.2,142.1,removed,flood,Samba Mahsuri,2024-07-13,2024-11-05,6.586,7.431,326.3
21,Eastern UP,25.919178,83.215263,3.008,6.54,2.01,11.2,688,26.9,0.696,0.598,0,4.7,44.3,removed,flood,MTU1010,2024-07-11,2024-11-07,5.22,8.066,226.3
22,Eastern UP,26.013111,83.322105,1.278,6.71,1.51,19.7,815,23.7,0.656,0.581,0,6.5,47.4,removed,flood,MTU1010,2024-06-23,2024-10-26,5.362,6.734,240.8
23,Coastal Andhra,16.557627,81.679134,1.049,6.58,1.63,29.7,1092,29.3,0.545,0.457,25,6.7,131.6,removed,flood,Swarna,2024-07-07,2024-11-01,5.26,7.894,336.8
24,Mekong Delta,10.771997,105.312795,1.554,7.49,1.94,44.9,743,24.2,0.677,0.535,44,0.1,107.4,removed,flood,Samba Mahsuri,2024-07-03,2024-11-04,5.635,9.332,282.0
25,Indo-Gangetic Plain,26.585794,82.534934,2.573,6.45,0.75,31.4,1264,31.3,0.768,0.63,45,2.4,83.1,incorporated,flood,IR64,2024-07-09,2024-11-24,5.377,7.146,379.5
26,Terai Nepal,27.750708,83.661088,1.678,7.36,0.2,17.0,1373,26.5,0.695,0.625,47,4.5,130.9,removed,alternate_wetting_drying,Samba Mahsuri,2024-07-07,2024-10-26,5.766,4.056,245.7
27,Coastal Andhra,16.417787,81.382434,3.406,6.99,2.09,21.0,1275,29.0,0.371,0.195,0,8.0,114.0,removed,flood,MTU1010,2024-06-12,2024-09-12,4.41,7.152,343.7
28,Terai Nepal,27.652813,84.374198,2.18,6.55,0.96,29.0,872,25.0,0.831,0.711,36,7.5,135.0,removed,flood,Samba Mahsuri,2024-06-30,2024-11-07,6.65,7.837,323.8
29,Terai Nepal,26.966384,84.448813,1.809,6.47,1.34,13.7,1933,27.3,0.663,0.527,57,5.7,62.3,incorporated,alternate_wetting_drying,MTU1010,2024-07-09,2024-11-03,5.486,7.447,319.1
30,Mekong Delta,10.016717,105.828257,0.442,7.42,1.12,20.7,896,22.9,0.749,0.645,12,1.1,78.2,removed,flood,MTU1010,2024-07-21,2024-11-18,5.488,5.768,265.5
31,Eastern UP,25.694842,83.155001,0.756,6.4,1.2,26.6,996,27.4,0.556,0.422,42,5.5,179.9,removed,alternate_wetting_drying,IR64,2024-06-23,2024-09-21,4.679,7.029,269.3
32,Terai Nepal,27.586953,83.923554,1.116,6.82,1.62,11.7,1091,26.8,0.708,0.647,42,5.1,65.3,incorporated,flood,Swarna,2024-06-27,2024-10-13,5.846,8.363,336.2
33,Coastal Andhra,16.874942,81.326097,1.035,5.87,0.9,22.4,1608,28.9,0.69,0.546,58,5.8,37.5,mulched,flood,Samba Mahsuri,2024-07-16,2024-11-02,5.51,6.879,325.9
34,Mekong Delta,10.063305,105.470986,0.881,6.74,1.18,36.0,1234,27.4,0.606,0.509,52,0.0,42.8,removed,alternate_wetting_drying,Samba Mahsuri,2024-07-12,2024-11-17,5.284,7.459,178.6
35,Coastal Andhra,16.011122,81.365559,4.069,6.93,0.97,30.3,1686,30.9,0.53,0.404,41,7.4,103.4,removed,flood,MTU1010,2024-06-12,2024-10-02,4.78,6.344,339.2
36,Eastern UP,25.961691,83.166544,0.426,6.43,0.58,26.5,1270,27.6,0.592,0.377,13,1.0,147.9,incorporated,flood,MTU1010,2024-06-27,2024-10-25,5.138,4.735,361.9
37,Coastal Andhra,16.407664,81.00233,1.819,7.11,0.77,25.4,1585,28.7,0.751,0.582,78,8.1,95.1,removed,alternate_wetting_drying,Swarna,2024-07-01,2024-10-27,5.946,5.945,219.9
38,Coastal Andhra,16.907057,81.092169,2.757,4.87,1.87,38.0,1470,22.0,0.772,0.675,0,8.9,140.5,mulched,flood,Swarna,2024-06-15,2024-10-09,6.127,9.573,434.9
39,Coastal Andhra,16.71402,81.214105,2.544,6.09,0.95,5.0,1475,27.8,0.448,0.436,23,7.4,79.5,removed,flood,Naveen,2024-06-26,2024-10-18,4.119,4.954,351.0
40,Terai Nepal,27.668924,83.540242,2.012,6.62,1.13,18.4,1057,28.5,0.635,0.56,56,6.5,46.3,incorporated,alternate_wetting_drying,Swarna,2024-07-10,2024-10-28,5.392,6.138,294.8
41,Eastern UP,25.834333,83.18988,1.38,5.59,1.97,43.0,1016,26.0,0.684,0.568,61,11.0,83.8,incorporated,flood,Naveen,2024-06-27,2024-10-20,5.621,9.3,449.5
42,Eastern UP,26.397162,82.660455,0.457,6.78,1.32,28.1,1479,28.1,0.699,0.563,57,7.6,125.3,incorporated,flood,MTU1010,2024-07-20,2024-11-11,5.866,7.913,437.3
43,Coastal Andhra,16.625476,81.320124,1.067,6.5,1.61,10.1,1207,27.2,0.74,0.708,82,5.6,99.3,incorporated,drip,Samba Mahsuri,2024-06-30,2024-10-30,6.119,8.896,228.4
44,Eastern UP,26.147126,82.818866,1.061,7.61,0.91,44.1,1531,31.3,0.575,0.483,33,8.4,70.1,removed,flood,IR64,2024-07-12,2024-10-20,4.991,5.696,334.1
45,Terai Nepal,27.639117,84.173345,0.913,6.29,0.28,19.3,1549,24.7,0.556,0.424,55,7.1,49.3,incorporated,flood,Swarna,2024-07-30,2024-11-26,4.585,4.248,421.5
46,Terai Nepal,27.654151,83.922957,3.264,7.4,1.38,9.2,1027,25.8,0.491,0.333,8,10.9,158.7,incorporated,drip,MTU1010,2024-07-01,2024-11-02,4.678,6.27,257.5
47,Indo-Gangetic Plain,26.548829,81.726462,1.211,6.27,0.9,13.5,1218,25.0,0.593,0.44,60,2.1,102.3,removed,alternate_wetting_drying,Swarna,2024-07-06,2024-11-19,5.164,6.107,214.3
48,Terai Nepal,27.814866,83.839429,2.692,6.62,2.24,18.1,1720,27.5,0.572,0.496,36,6.3,108.3,incorporated,flood,IR64,2024-06-29,2024-10-28,5.317,8.29,424.6
49,Eastern UP,25.849323,83.063478,2.35,6.43,1.67,33.7,640,24.7,0.463,0.262,42,10.3,32.8,incorporated,drip,Samba Mahsuri,2024-06-29,2024-10-13,4.296,6.347,206.9
50,Coastal Andhra,16.648209,81.278202,0.878,6.1,1.19,36.7,1363,26.1,0.743,0.785,73,0.0,77.3,mulched,flood,Naveen,2024-06-23,2024-10-16,6.374,7.721,260.0
51,Eastern UP,25.954874,83.298665,0.857,5.33,0.76,29.2,1856,23.9,0.494,0.47,4,8.6,142.3,incorporated,flood,Samba Mahsuri,2024-07-06,2024-10-22,4.879,4.472,465.3
52,Mekong Delta,9.943002,105.634517,0.858,6.51,1.27,29.5,1159,29.7,0.398,0.151,23,6.2,57.2,incorporated,drip,Swarna,2024-07-11,2024-10-25,3.467,6.032,246.3
53,Coastal Andhra,16.469147,81.191962,1.824,6.19,1.39,30.1,1259,26.4,0.672,0.534,65,10.4,55.3,incorporated,flood,Swarna,2024-06-30,2024-11-04,5.64,7.734,430.3
54,Indo-Gangetic Plain,26.59072,81.764394,2.098,6.42,1.02,32.5,1104,29.4,0.768,0.734,72,0.6,131.0,incorporated,flood,Swarna,2024-07-25,2024-11-09,6.414,6.675,405.2
55,Coastal Andhra,16.500835,81.686129,1.774,6.54,1.24,13.2,1155,22.9,0.773,0.782,66,7.9,136.2,incorporated,alternate_wetting_drying,Naveen,2024-07-05,2024-10-24,6.452,7.9,323.8
56,Coastal Andhra,16.617121,80.866989,4.177,6.67,1.23,32.7,951,27.4,0.564,0.386,18,5.2,101.5,removed,flood,Swarna,2024-07-08,2024-10-11,4.952,6.522,279.5
57,Indo-Gangetic Plain,26.643101,81.316926,1.417,7.85,1.86,29.2,882,28.2,0.739,0.651,52,9.5,60.0,incorporated,alternate_wetting_drying,IR64,2024-06-24,2024-10-24,5.52,9.597,286.4
58,Mekong Delta,10.157309,105.279527,0.988,6.77,1.81,41.2,738,27.7,0.825,0.809,52,5.0,104.5,incorporated,flood,Swarna,2024-06-27,2024-10-26,6.46,10.394,354.5
59,Mekong Delta,9.669766,105.28661,0.859,6.38,0.82,25.3,1013,28.8,0.774,0.668,56,11.4,49.0,incorporated,drip,IR64,2024-06-22,2024-09-21,5.646,6.18,225.1
60,Mekong Delta,10.161627,105.223798,1.352,5.65,1.14,16.0,979,30.1,0.781,0.651,17,4.1,132.5,incorporated,alternate_wetting_drying,IR64,2024-07-06,2024-11-03,6.618,6.921,294.9
61,Terai Nepal,27.178822,83.733076,0.8,6.36,1.24,32.1,945,23.0,0.9,0.85,65,5.1,98.8,mulched,flood,Swarna,2024-07-04,2024-10-27,6.6,8.342,349.9
62,Eastern UP,25.799573,83.297613,1.1,6.05,1.47,16.0,1208,27.0,0.78,0.657,44,7.5,138.7,removed,flood,Swarna,2024-07-10,2024-11-08,5.909,8.557,322.7
63,Terai Nepal,27.652327,84.016197,0.414,6.11,0.2,27.9,1284,25.0,0.715,0.679,20,6.3,65.9,mulched,flood,Swarna,2024-07-04,2024-10-12,5.201,3.881,320.8
64,Terai Nepal,27.956352,84.404484,0.787,6.05,0.9,19.9,1485,28.1,0.755,0.622,87,1.8,103.3,incorporated,flood,Naveen,2024-06-14,2024-09-30,5.926,5.773,372.0
65,Mekong Delta,9.701768,105.490718,0.377,7.74,0.6,24.6,1550,24.8,0.374,0.296,23,0.0,100.0,mulched,alternate_wetting_drying,Swarna,2024-07-07,2024-10-27,3.955,3.587,240.1
66,Mekong Delta,9.994495,105.893535,0.691,5.2,1.38,22.4,1503,26.7,0.577,0.481,72,6.7,4.8,incorporated,drip,Samba Mahsuri,2024-07-06,2024-11-06,4.651,8.071,213.9
67,Mekong Delta,10.37656,105.556525,1.133,6.07,1.21,16.5,1252,27.6,0.547,0.491,69,4.8,62.7,incorporated,flood,Naveen,2024-07-01,2024-11-11,5.126,7.043,387.4
68,Eastern UP,25.751289,83.06051,2.046,5.22,0.64,21.3,1294,26.6,0.644,0.442,14,8.4,77.8,incorporated,alternate_wetting_drying,Naveen,2024-07-10,2024-10-17,4.808,4.928,310.1
69,Eastern UP,26.088357,82.484751,0.883,6.69,0.9,27.7,1195,28.3,0.599,0.546,81,3.5,113.1,removed,flood,Samba Mahsuri,2024-07-19,2024-11-26,4.947,6.757,282.5
70,Indo-Gangetic Plain,26.66174,82.102489,0.731,6.13,1.37,33.2,1529,24.9,0.702,0.543,20,9.5,147.4,mulched,alternate_wetting_drying,Samba Mahsuri,2024-07-31,2024-11-13,5.788,7.603,312.8
71,Eastern UP,26.190272,83.142586,1.403,4.5,1.06,15.6,1563,28.5,0.595,0.513,35,3.8,39.4,mulched,flood,MTU1010,2024-06-18,2024-10-12,5.317,5.677,370.2
72,Coastal Andhra,16.981836,81.668738,0.673,6.73,1.73,33.5,1224,30.3,0.541,0.457,23,7.3,69.6,mulched,alternate_wetting_drying,Swarna,2024-07-03,2024-10-28,4.573,7.99,306.8
73,Eastern UP,26.255028,83.262715,1.512,6.53,1.46,16.4,1706,31.2,0.701,0.592,34,6.6,65.8,incorporated,flood,Naveen,2024-06-13,2024-10-16,5.486,8.281,425.6
74,Terai Nepal,27.319336,84.140632,0.671,6.68,1.58,37.3,1169,26.5,0.545,0.486,39,6.1,122.0,incorporated,alternate_wetting_drying,Samba Mahsuri,2024-06-26,2024-10-21,4.992,7.489,313.7
75,Eastern UP,26.030493,82.660692,0.424,5.88,1.32,25.9,1410,27.2,0.637,0.567,67,2.2,51.1,incorporated,flood,Swarna,2024-07-10,2024-10-25,5.091,8.333,361.0
76,Indo-Gangetic Plain,26.195253,82.018504,1.58,6.92,1.29,21.3,951,27.2,0.521,0.567,55,7.7,7.3,incorporated,flood,Samba Mahsuri,2024-06-24,2024-10-17,5.027,6.733,347.5
77,Mekong Delta,9.855177,105.214001,1.315,7.47,1.36,22.5,1112,23.1,0.756,0.66,40,14.6,100.5,mulched,flood,MTU1010,2024-06-27,2024-10-03,5.604,7.537,445.4
78,Mekong Delta,10.356444,105.661023,1.933,6.38,0.59,26.2,1494,28.6,0.75,0.671,38,6.5,70.9,mulched,alternate_wetting_drying,MTU1010,2024-06-29,2024-11-03,5.46,5.177,276.0
79,Indo-Gangetic Plain,26.579517,81.986492,2.433,7.36,0.61,22.4,1209,26.3,0.865,0.754,24,6.8,99.5,incorporated,alternate_wetting_drying,Samba Mahsuri,2024-07-08,2024-10-15,6.037,6.295,326.0
80,Terai Nepal,27.200209,83.848568,2.023,6.83,1.08,21.3,1082,24.7,0.844,0.76,75,9.6,124.9,incorporated,drip,MTU1010,2024-06-30,2024-10-19,6.158,7.408,276.7
81,Indo-Gangetic Plain,26.347241,82.233259,2.789,7.11,0.23,26.3,1508,23.7,0.737,0.603,14,7.5,99.5,incorporated,flood,Samba Mahsuri,2024-07-11,2024-10-22,5.334,3.928,470.0
82,Eastern UP,25.839402,82.97284,1.491,6.61,1.55,20.6,1353,26.4,0.739,0.608,21,8.3,71.2,mulched,flood,Naveen,2024-07-13,2024-10-25,5.593,7.884,315.8
83,Eastern UP,26.196683,83.458317,0.986,6.98,1.48,47.5,1048,29.0,0.455,0.38,53,9.2,47.1,removed,flood,Naveen,2024-07-12,2024-11-15,4.598,7.496,293.7
84,Mekong Delta,9.844626,105.572315,1.167,7.03,1.01,16.2,1095,26.1,0.641,0.509,59,8.6,61.6,removed,alternate_wetting_drying,MTU1010,2024-07-08,2024-11-05,5.251,6.504,257.1
85,Indo-Gangetic Plain,26.312918,81.535371,1.302,6.22,1.1,28.0,449,23.2,0.9,0.825,0,0.7,177.0,incorporated,alternate_wetting_drying,Swarna,2024-06-27,2024-10-16,7.117,6.591,267.3
86,Coastal Andhra,16.613205,81.145853,0.765,6.38,0.76,27.7,1231,21.6,0.648,0.494,35,3.0,41.8,incorporated,drip,Naveen,2024-06-16,2024-10-19,4.675,4.93,232.7
87,Terai Nepal,27.355082,84.044038,3.213,7.04,1.07,16.1,554,25.2,0.625,0.574,41,5.2,82.1,mulched,alternate_wetting_drying,Swarna,2024-06-28,2024-10-30,5.855,6.422,223.5
88,Eastern UP,26.062017,83.227682,1.536,6.88,1.23,17.6,690,25.4,0.9,0.824,0,7.2,119.9,mulched,alternate_wetting_drying,IR64,2024-07-17,2024-10-31,6.616,7.133,282.2
89,Terai Nepal,27.331434,83.601418,4.547,5.67,1.02,27.3,1118,26.8,0.719,0.739,13,5.1,75.9,incorporated,drip,MTU1010,2024-07-06,2024-10-29,5.978,6.127,189.7
90,Eastern UP,25.494969,82.758239,2.179,7.47,0.58,19.1,1192,27.7,0.553,0.432,33,5.0,109.1,incorporated,flood,MTU1010,2024-07-05,2024-10-14,4.656,4.35,352.5
91,Mekong Delta,9.875887,105.821269,0.919,5.13,1.26,24.9,941,27.2,0.521,0.404,110,0.0,71.9,mulched,flood,IR64,2024-06-28,2024-10-11,4.599,7.22,268.2
92,Terai Nepal,27.690472,83.847385,0.58,6.6,1.36,21.4,1389,25.4,0.542,0.389,71,3.1,150.2,removed,alternate_wetting_drying,Naveen,2024-07-02,2024-10-06,5.523,7.39,238.2
93,Terai Nepal,27.296441,84.022702,0.983,7.68,1.21,31.5,1265,26.1,0.419,0.323,126,1.3,26.5,incorporated,drip,MTU1010,2024-07-24,2024-11-28,4.145,7.385,191.3
94,Eastern UP,26.455256,83.508599,1.146,7.33,0.69,17.1,869,24.9,0.737,0.68,100,6.4,128.0,removed,alternate_wetting_drying,Swarna,2024-07-09,2024-10-30,5.949,6.382,206.0
95,Mekong Delta,10.240123,105.726287,2.493,6.92,1.38,35.7,1192,24.8,0.63,0.568,28,4.6,62.3,mulched,drip,IR64,2024-07-01,2024-10-28,4.794,7.549,188.1
96,Coastal Andhra,16.451591,80.987128,0.671,6.04,1.64,18.7,1153,28.8,0.617,0.485,6,4.6,92.8,incorporated,flood,Swarna,2024-07-05,2024-10-19,5.275,7.624,399.2
97,Coastal Andhra,17.040153,81.571684,1.385,6.21,1.6,15.3,1342,28.3,0.777,0.539,54,3.5,89.1,removed,flood,IR64,2024-06-17,2024-09-28,5.789,9.042,261.2
98,Indo-Gangetic Plain,26.312143,82.004614,2.166,5.88,0.77,36.3,1118,25.1,0.737,0.662,70,3.0,84.4,mulched,flood,Samba Mahsuri,2024-07-14,2024-10-28,5.566,6.702,315.3
99,Terai Nepal,27.926824,84.277865,2.18,7.24,1.24,27.0,1014,26.2,0.724,0.564,41,3.6,90.0,incorporated,flood,IR64,2024-07-11,2024-11-18,5.265,7.588,367.8
100,Terai Nepal,27.381001,84.144757,0.978,7.76,1.06,28.7,1491,31.0,0.561,0.482,76,7.4,127.6,incorporated,alternate_wetting_drying,Swarna,2024-06-21,2024-10-10,5.037,6.963,325.1
101,Coastal Andhra,16.222254,81.230407,0.638,6.97,1.29,25.8,1397,26.3,0.76,0.707,80,3.3,30.6,removed,flood,Samba Mahsuri,2024-07-01,2024-11-01,5.633,8.404,251.2
102,Mekong Delta,10.373216,105.252992,1.781,5.76,2.09,43.4,1377,32.0,0.693,0.554,76,5.5,35.7,removed,flood,MTU1010,2024-07-12,2024-11-07,6.048,10.267,260.6
103,Terai Nepal,27.291487,83.987649,1.686,6.53,1.1,18.5,1001,25.5,0.691,0.64,54,9.2,101.4,incorporated,flood,Samba Mahsuri,2024-07-01,2024-11-06,5.72,7.101,415.6
104,Terai Nepal,27.288372,84.018695,2.384,7.17,1.2,32.7,693,25.2,0.566,0.404,61,5.6,99.9,removed,flood,MTU1010,2024-07-20,2024-11-09,5.011,6.249,279.8
105,Terai Nepal,27.271494,84.092963,1.2,7.87,1.47,23.9,747,27.3,0.749,0.653,32,3.3,108.7,incorporated,alternate_wetting_drying,MTU1010,2024-07-12,2024-11-09,6.045,7.854,247.4
106,Terai Nepal,27.715927,83.612018,0.688,6.78,1.94,28.6,1106,27.0,0.5,0.37,67,3.6,73.5,incorporated,flood,MTU1010,2024-07-07,2024-12-04,4.671,7.997,415.6
107,Terai Nepal,27.574254,84.045122,1.297,6.85,1.8,19.1,1321,23.1,0.815,0.778,27,3.2,36.6,removed,flood,Swarna,2024-07-05,2024-11-02,5.74,8.458,248.7
108,Eastern UP,25.419968,83.506638,2.129,6.22,1.09,13.9,1626,25.7,0.48,0.369,23,1.9,74.9,incorporated,flood,IR64,2024-07-05,2024-10-28,4.296,5.82,411.5
109,Mekong Delta,10.269831,105.723375,2.305,6.21,0.2,37.5,1149,28.7,0.85,0.629,28,5.4,137.8,removed,flood,Naveen,2024-06-26,2024-10-06,6.208,4.393,337.4
110,Mekong Delta,10.177333,105.919054,0.732,5.95,1.02,16.8,1411,25.1,0.509,0.402,12,0.0,94.7,removed,alternate_wetting_drying,Swarna,2024-06-17,2024-10-15,4.655,5.181,175.8
111,Mekong Delta,10.009998,105.213147,0.306,6.59,1.74,35.0,1444,26.8,0.78,0.634,34,7.0,71.2,removed,flood,Samba Mahsuri,2024-07-10,2024-11-10,5.382,9.433,345.6
112,Indo-Gangetic Plain,26.17249,81.88387,1.854,7.01,1.05,24.3,744,26.1,0.757,0.628,57,5.1,90.2,incorporated,alternate_wetting_drying,Naveen,2024-06-28,2024-10-23,6.157,7.196,294.6
113,Coastal Andhra,16.612972,81.442957,0.827,6.96,1.76,44.3,1220,25.4,0.53,0.485,76,0.5,132.6,incorporated,flood,MTU1010,2024-06-26,2024-10-10,4.934,8.505,402.6
114,Eastern UP,25.953231,82.835514,1.344,6.8,1.76,39.5,1092,23.7,0.6,0.487,20,2.1,102.0,removed,flood,Swarna,2024-07-04,2024-10-28,5.317,7.565,267.6
115,Coastal Andhra,16.307173,81.710456,0.628,5.5,0.79,18.4,675,26.7,0.764,0.728,47,6.2,87.1,removed,alternate_wetting_drying,Samba Mahsuri,2024-07-06,2024-10-30,6.094,5.709,234.3
116,Eastern UP,26.356973,83.304103,0.475,7.06,1.53,9.6,1135,27.7,0.85,0.713,23,10.1,91.5,removed,flood,Swarna,2024-07-02,2024-11-02,6.397,7.677,354.0
117,Indo-Gangetic Plain,27.00989,81.995885,1.89,6.31,1.33,28.0,400,28.5,0.886,0.759,21,6.9,127.1,removed,drip,Swarna,2024-07-10,2024-10-24,6.461,7.429,207.4
118,Coastal Andhra,16.978683,81.690259,0.503,5.82,1.06,33.9,651,26.9,0.593,0.427,3,5.3,76.2,removed,alternate_wetting_drying,Swarna,2024-07-19,2024-11-05,5.019,6.42,199.1
119,Coastal Andhra,17.478147,81.184131,1.537,6.21,1.2,5.0,1339,30.4,0.698,0.663,24,0.0,124.3,removed,flood,Naveen,2024-06-24,2024-10-23,5.778,6.059,277.5
120,Terai Nepal,27.907823,83.928263,3.75,5.31,1.63,16.3,1052,28.4,0.717,0.587,10,9.3,58.5,removed,drip,MTU1010,2024-06-27,2024-10-14,5.518,8.265,213.2
121,Indo-Gangetic Plain,26.347042,81.377777,1.075,6.48,1.02,6.6,1678,25.4,0.623,0.644,84,3.6,93.4,incorporated,flood,Swarna,2024-07-16,2024-10-27,5.515,5.787,424.0
122,Coastal Andhra,16.266103,81.113632,1.301,5.58,0.49,31.0,1156,25.5,0.562,0.496,47,6.3,16.8,incorporated,flood,IR64,2024-07-19,2024-11-28,4.242,4.39,339.3
123,Mekong Delta,10.098346,105.777281,0.665,6.55,0.74,27.6,931,26.0,0.531,0.398,66,4.3,91.3,incorporated,flood,Swarna,2024-06-20,2024-10-18,4.601,5.891,386.7
124,Eastern UP,25.671079,83.251471,2.577,6.58,1.38,28.4,574,26.5,0.621,0.45,53,4.1,86.8,removed,flood,IR64,2024-07-15,2024-11-06,4.581,7.464,268.3
125,Terai Nepal,27.546383,84.354014,1.195,6.71,1.35,25.1,1179,25.6,0.668,0.582,83,7.4,39.2,removed,flood,MTU1010,2024-06-21,2024-10-27,5.608,7.745,270.6
126,Terai Nepal,27.531182,83.826284,2.89,5.17,0.2,28.0,1537,28.9,0.554,0.379,14,8.9,51.5,removed,alternate_wetting_drying,Naveen,2024-07-01,2024-11-02,4.564,3.424,282.1
127,Coastal Andhra,16.275396,80.689937,0.753,7.4,0.57,28.5,1510,27.7,0.698,0.565,54,9.8,53.6,incorporated,flood,Swarna,2024-07-07,2024-11-10,5.178,4.947,434.9
128,Mekong Delta,9.647322,105.231479,1.748,5.93,1.43,11.3,1454,23.9,0.716,0.585,27,6.7,99.1,incorporated,flood,Swarna,2024-06-29,2024-10-01,5.608,7.271,449.8
129,Mekong Delta,10.294028,105.606767,0.987,7.35,1.23,10.7,1068,31.1,0.57,0.456,63,6.8,175.7,removed,flood,MTU1010,2024-06-23,2024-10-15,5.629,6.727,336.5
130,Terai Nepal,27.139609,84.207564,2.721,6.88,1.74,45.2,1490,27.8,0.846,0.658,89,3.5,42.6,incorporated,drip,IR64,2024-06-29,2024-10-26,6.361,8.985,235.7
131,Indo-Gangetic Plain,26.696348,82.00175,0.939,7.14,1.3,31.5,1247,25.8,0.843,0.725,36,8.8,43.8,mulched,flood,IR64,2024-07-27,2024-11-25,6.146,8.537,368.6
132,Terai Nepal,27.513054,84.167442,0.268,6.32,1.32,13.5,1315,26.5,0.861,0.682,33,4.5,87.4,removed,alternate_wetting_drying,Samba Mahsuri,2024-06-30,2024-11-01,6.844,7.237,217.2
133,Eastern UP,25.950059,83.063564,0.714,7.1,1.34,25.7,1557,26.7,0.628,0.552,53,5.9,66.7,removed,flood,Samba Mahsuri,2024-07-03,2024-10-24,5.234,6.952,309.4
